"filename", "language", "JSON with Comments", "TypeScript", "JavaScript", "XML", "Markdown", "JSON", "Prisma", "TypeScript JSX", "PostCSS", "WebAssembly Text Format", "comment", "blank", "total"
"c:\Users\mohit\Desktop\I\unicore_g\components\landing\HowItWorks.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 79, 0, 0, 4, 5, 88
"c:\Users\mohit\Desktop\I\unicore_g\components\landing\Modules.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 118, 0, 0, 1, 6, 125
"c:\Users\mohit\Desktop\I\unicore_g\components\landing\Navbar.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 152, 0, 0, 10, 14, 176
"c:\Users\mohit\Desktop\I\unicore_g\components\landing\Pricing.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 136, 0, 0, 1, 8, 145
"c:\Users\mohit\Desktop\I\unicore_g\components\landing\Stats.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 32, 0, 0, 0, 2, 34
"c:\Users\mohit\Desktop\I\unicore_g\components\landing\Testimonials.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 79, 0, 0, 1, 6, 86
"c:\Users\mohit\Desktop\I\unicore_g\components\layout\forbidden.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 60, 0, 0, 1, 8, 69
"c:\Users\mohit\Desktop\I\unicore_g\components\layout\sidebar-context.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 29, 0, 0, 1, 9, 39
"c:\Users\mohit\Desktop\I\unicore_g\components\layout\sidebar.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 335, 0, 0, 1, 15, 351
"c:\Users\mohit\Desktop\I\unicore_g\components\layout\topbar.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 58, 0, 0, 4, 9, 71
"c:\Users\mohit\Desktop\I\unicore_g\components\student\attendance-chart.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 97, 0, 0, 0, 7, 104
"c:\Users\mohit\Desktop\I\unicore_g\components\theme-provider.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 9, 0, 0, 0, 3, 12
"c:\Users\mohit\Desktop\I\unicore_g\components\theme-toggle.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 17, 0, 0, 0, 4, 21
"c:\Users\mohit\Desktop\I\unicore_g\components\ui\badge.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 35, 0, 0, 0, 5, 40
"c:\Users\mohit\Desktop\I\unicore_g\components\ui\button.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 51, 0, 0, 0, 5, 56
"c:\Users\mohit\Desktop\I\unicore_g\components\ui\card.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 71, 0, 0, 0, 8, 79
"c:\Users\mohit\Desktop\I\unicore_g\components\ui\input.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 21, 0, 0, 0, 4, 25
"c:\Users\mohit\Desktop\I\unicore_g\components\ui\select.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 146, 0, 0, 0, 15, 161
"c:\Users\mohit\Desktop\I\unicore_g\components\ui\switch.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 25, 0, 0, 0, 5, 30
"c:\Users\mohit\Desktop\I\unicore_g\components\ui\table.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 107, 0, 0, 0, 10, 117
"c:\Users\mohit\Desktop\I\unicore_g\eslint.config.mjs", "JavaScript", 0, 0, 14, 0, 0, 0, 0, 0, 0, 0, 2, 3, 19
"c:\Users\mohit\Desktop\I\unicore_g\generated\prisma\client.d.ts", "TypeScript", 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"c:\Users\mohit\Desktop\I\unicore_g\generated\prisma\client.js", "JavaScript", 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 3, 1, 5
"c:\Users\mohit\Desktop\I\unicore_g\generated\prisma\default.d.ts", "TypeScript", 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"c:\Users\mohit\Desktop\I\unicore_g\generated\prisma\default.js", "JavaScript", 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 3, 1, 5
"c:\Users\mohit\Desktop\I\unicore_g\generated\prisma\edge.d.ts", "TypeScript", 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"c:\Users\mohit\Desktop\I\unicore_g\generated\prisma\edge.js", "JavaScript", 0, 0, 395, 0, 0, 0, 0, 0, 0, 0, 22, 61, 478
"c:\Users\mohit\Desktop\I\unicore_g\generated\prisma\index-browser.js", "JavaScript", 0, 0, 419, 0, 0, 0, 0, 0, 0, 0, 22, 63, 504
"c:\Users\mohit\Desktop\I\unicore_g\generated\prisma\index.d.ts", "TypeScript", 0, 17419, 0, 0, 0, 0, 0, 0, 0, 0, 9877, 2502, 29798
"c:\Users\mohit\Desktop\I\unicore_g\generated\prisma\index.js", "JavaScript", 0, 0, 394, 0, 0, 0, 0, 0, 0, 0, 22, 62, 478
"c:\Users\mohit\Desktop\I\unicore_g\generated\prisma\package.json", "JSON", 0, 0, 0, 0, 0, 144, 0, 0, 0, 0, 0, 0, 144
"c:\Users\mohit\Desktop\I\unicore_g\generated\prisma\query_compiler_fast_bg.js", "JavaScript", 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 1, 3
"c:\Users\mohit\Desktop\I\unicore_g\generated\prisma\query_compiler_fast_bg.wasm", "WebAssembly Text Format", 0, 0, 0, 0, 0, 0, 0, 0, 0, 87811, 0, 2015, 89826
"c:\Users\mohit\Desktop\I\unicore_g\generated\prisma\query_compiler_fast_bg.wasm-base64.js", "JavaScript", 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 1, 3
"c:\Users\mohit\Desktop\I\unicore_g\generated\prisma\runtime\client.d.ts", "TypeScript", 0, 2133, 0, 0, 0, 0, 0, 0, 0, 0, 836, 390, 3359
"c:\Users\mohit\Desktop\I\unicore_g\generated\prisma\runtime\client.js", "JavaScript", 0, 0, 62, 0, 0, 0, 0, 0, 0, 0, 9, 16, 87
"c:\Users\mohit\Desktop\I\unicore_g\generated\prisma\runtime\index-browser.d.ts", "TypeScript", 0, 52, 0, 0, 0, 0, 0, 0, 0, 0, 16, 23, 91
"c:\Users\mohit\Desktop\I\unicore_g\generated\prisma\runtime\index-browser.js", "JavaScript", 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 4, 2, 7
"c:\Users\mohit\Desktop\I\unicore_g\generated\prisma\runtime\wasm-compiler-edge.js", "JavaScript", 0, 0, 57, 0, 0, 0, 0, 0, 0, 0, 4, 16, 77
"c:\Users\mohit\Desktop\I\unicore_g\generated\prisma\schema.prisma", "Prisma", 0, 0, 0, 0, 0, 0, 295, 0, 0, 0, 1, 52, 348
"c:\Users\mohit\Desktop\I\unicore_g\generated\prisma\wasm-edge-light-loader.mjs", "JavaScript", 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 3, 1, 5
"c:\Users\mohit\Desktop\I\unicore_g\generated\prisma\wasm-worker-loader.mjs", "JavaScript", 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 3, 1, 5
"c:\Users\mohit\Desktop\I\unicore_g\lib\auth-middleware.ts", "TypeScript", 0, 45, 0, 0, 0, 0, 0, 0, 0, 0, 10, 10, 65
"c:\Users\mohit\Desktop\I\unicore_g\lib\auth-server.ts", "TypeScript", 0, 10, 0, 0, 0, 0, 0, 0, 0, 0, 4, 4, 18
"c:\Users\mohit\Desktop\I\unicore_g\lib\auth.ts", "TypeScript", 0, 26, 0, 0, 0, 0, 0, 0, 0, 0, 12, 7, 45
"c:\Users\mohit\Desktop\I\unicore_g\lib\config.ts", "TypeScript", 0, 12, 0, 0, 0, 0, 0, 0, 0, 0, 9, 5, 26
"c:\Users\mohit\Desktop\I\unicore_g\lib\currentUser.ts", "TypeScript", 0, 22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 27
"c:\Users\mohit\Desktop\I\unicore_g\lib\db\index.ts", "TypeScript", 0, 12, 0, 0, 0, 0, 0, 0, 0, 0, 7, 7, 26
"c:\Users\mohit\Desktop\I\unicore_g\lib\mail.ts", "TypeScript", 0, 101, 0, 0, 0, 0, 0, 0, 0, 0, 11, 8, 120
"c:\Users\mohit\Desktop\I\unicore_g\lib\modules\loader.ts", "TypeScript", 0, 39, 0, 0, 0, 0, 0, 0, 0, 0, 20, 9, 68
"c:\Users\mohit\Desktop\I\unicore_g\lib\modules\module-guard.ts", "TypeScript", 0, 9, 0, 0, 0, 0, 0, 0, 0, 0, 4, 3, 16
"c:\Users\mohit\Desktop\I\unicore_g\lib\modules\registry.ts", "TypeScript", 0, 99, 0, 0, 0, 0, 0, 0, 0, 0, 2, 3, 104
"c:\Users\mohit\Desktop\I\unicore_g\lib\services\subject-service.ts", "TypeScript", 0, 23, 0, 0, 0, 0, 0, 0, 0, 0, 4, 7, 34
"c:\Users\mohit\Desktop\I\unicore_g\lib\tenant.ts", "TypeScript", 0, 53, 0, 0, 0, 0, 0, 0, 0, 0, 15, 11, 79
"c:\Users\mohit\Desktop\I\unicore_g\lib\tenant\resolver.ts", "TypeScript", 0, 19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 23
"c:\Users\mohit\Desktop\I\unicore_g\lib\utils.ts", "TypeScript", 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 3, 2, 10
"c:\Users\mohit\Desktop\I\unicore_g\lib\utils\academic.ts", "TypeScript", 0, 37, 0, 0, 0, 0, 0, 0, 0, 0, 2, 6, 45
"c:\Users\mohit\Desktop\I\unicore_g\modules\attendance\index.ts", "TypeScript", 0, 12, 0, 0, 0, 0, 0, 0, 0, 0, 5, 3, 20
