Date : 2026-03-27 22:49:51
Directory : c:\Users\mohit\Desktop\I\unicore_g
Total : 164 files,  130203 codes, 11328 comments, 6626 blanks, all 148157 lines

Languages
+-------------------------+------------+------------+------------+------------+------------+
| language                | files      | code       | comment    | blank      | total      |
| c:\Users\mohit\Desktop\I\unicore_g\app\[tenant]\admin\academic-periods\AcademicPeriodManager.tsx | TypeScript JSX          |        189 |          1 |         14 |        204 |
| c:\Users\mohit\Desktop\I\unicore_g\app\[tenant]\admin\academic-periods\page.tsx                  | TypeScript JSX          |         33 |          1 |          7 |         41 |
| c:\Users\mohit\Desktop\I\unicore_g\app\[tenant]\admin\courses\CourseManager.tsx                  | TypeScript JSX          |        228 |          3 |         16 |        247 |
| c:\Users\mohit\Desktop\I\unicore_g\app\[tenant]\admin\courses\page.tsx                           | TypeScript JSX          |         34 |          3 |          8 |         45 |
| c:\Users\mohit\Desktop\I\unicore_g\app\[tenant]\admin\dashboard\page.tsx                         | TypeScript JSX          |         67 |          2 |         11 |         80 |
| c:\Users\mohit\Desktop\I\unicore_g\app\[tenant]\admin\departments\DepartmentManager.tsx          | TypeScript JSX          |        217 |          3 |         15 |        235 |
| c:\Users\mohit\Desktop\I\unicore_g\app\[tenant]\admin\departments\page.tsx                       | TypeScript JSX          |         28 |          2 |          7 |         37 |
| c:\Users\mohit\Desktop\I\unicore_g\app\[tenant]\admin\exams\ExamManager.tsx                      | TypeScript JSX          |        231 |          1 |         13 |        245 |
| c:\Users\mohit\Desktop\I\unicore_g\app\[tenant]\admin\exams\page.tsx                             | TypeScript JSX          |         48 |          0 |          7 |         55 |
| c:\Users\mohit\Desktop\I\unicore_g\app\[tenant]\admin\faculty\FacultyManager.tsx                 | TypeScript JSX          |        375 |          3 |         22 |        400 |
| c:\Users\mohit\Desktop\I\unicore_g\app\[tenant]\admin\faculty\page.tsx                           | TypeScript JSX          |         29 |          2 |          7 |         38 |
| c:\Users\mohit\Desktop\I\unicore_g\app\[tenant]\admin\layout.tsx                                 | TypeScript JSX          |         68 |          5 |         10 |         83 |
| c:\Users\mohit\Desktop\I\unicore_g\app\[tenant]\admin\settings\InstitutionSettingsManager.tsx    | TypeScript JSX          |        128 |          0 |         16 |        144 |
| c:\Users\mohit\Desktop\I\unicore_g\app\[tenant]\admin\settings\page.tsx                          | TypeScript JSX          |         41 |          1 |          8 |         50 |
| c:\Users\mohit\Desktop\I\unicore_g\app\[tenant]\admin\students\StudentManager.tsx                | TypeScript JSX          |        429 |         12 |         25 |        466 |
| c:\Users\mohit\Desktop\I\unicore_g\app\[tenant]\admin\students\page.tsx                          | TypeScript JSX          |         34 |          2 |          8 |         44 |
| c:\Users\mohit\Desktop\I\unicore_g\app\[tenant]\admin\subjects\SubjectManager.tsx                | TypeScript JSX          |        572 |         12 |         30 |        614 |
| c:\Users\mohit\Desktop\I\unicore_g\app\[tenant]\admin\subjects\page.tsx                          | TypeScript JSX          |         53 |          4 |          9 |         66 |
| c:\Users\mohit\Desktop\I\unicore_g\app\[tenant]\error.tsx                                        | TypeScript JSX          |         71 |          2 |          9 |         82 |
| c:\Users\mohit\Desktop\I\unicore_g\app\[tenant]\faculty\attendance\AttendanceManager.tsx         | TypeScript JSX          |        289 |          4 |         21 |        314 |
| c:\Users\mohit\Desktop\I\unicore_g\app\[tenant]\faculty\attendance\page.tsx                      | TypeScript JSX          |         57 |          0 |          7 |         64 |
| c:\Users\mohit\Desktop\I\unicore_g\app\[tenant]\faculty\dashboard\page.tsx                       | TypeScript JSX          |        110 |          2 |         16 |        128 |
| c:\Users\mohit\Desktop\I\unicore_g\app\[tenant]\faculty\layout.tsx                               | TypeScript JSX          |         68 |          5 |          9 |         82 |
| c:\Users\mohit\Desktop\I\unicore_g\app\[tenant]\faculty\profile\page.tsx                         | TypeScript JSX          |        117 |          0 |         11 |        128 |
| c:\Users\mohit\Desktop\I\unicore_g\app\[tenant]\faculty\subjects\page.tsx                        | TypeScript JSX          |        100 |          1 |         12 |        113 |
| c:\Users\mohit\Desktop\I\unicore_g\app\[tenant]\layout.tsx                                       | TypeScript JSX          |         40 |          7 |         10 |         57 |
| c:\Users\mohit\Desktop\I\unicore_g\app\[tenant]\login\page.tsx                                   | TypeScript JSX          |         21 |         11 |          6 |         38 |
| c:\Users\mohit\Desktop\I\unicore_g\app\[tenant]\page.tsx                                         | TypeScript JSX          |          8 |          1 |          4 |         13 |
| c:\Users\mohit\Desktop\I\unicore_g\app\[tenant]\setup-password\page.tsx                          | TypeScript JSX          |        198 |          0 |         21 |        219 |
| c:\Users\mohit\Desktop\I\unicore_g\app\[tenant]\student\activate\page.tsx                        | TypeScript JSX          |         15 |          1 |          4 |         20 |
| c:\Users\mohit\Desktop\I\unicore_g\app\[tenant]\student\attendance\page.tsx                      | TypeScript JSX          |         96 |          4 |         15 |        115 |
| c:\Users\mohit\Desktop\I\unicore_g\app\[tenant]\student\dashboard\page.tsx                       | TypeScript JSX          |        288 |         12 |         25 |        325 |
| c:\Users\mohit\Desktop\I\unicore_g\app\[tenant]\student\fees\page.tsx                            | TypeScript JSX          |         36 |          0 |          7 |         43 |
| c:\Users\mohit\Desktop\I\unicore_g\app\[tenant]\student\layout.tsx                               | TypeScript JSX          |         68 |          2 |          9 |         79 |
| c:\Users\mohit\Desktop\I\unicore_g\app\[tenant]\student\notices\page.tsx                         | TypeScript JSX          |         83 |          1 |         10 |         94 |
| c:\Users\mohit\Desktop\I\unicore_g\app\[tenant]\student\page.tsx                                 | TypeScript JSX          |          5 |          1 |          3 |          9 |
| c:\Users\mohit\Desktop\I\unicore_g\app\[tenant]\student\profile\page.tsx                         | TypeScript JSX          |        146 |          3 |         12 |        161 |
| c:\Users\mohit\Desktop\I\unicore_g\app\[tenant]\student\subjects\page.tsx                        | TypeScript JSX          |        198 |          0 |         15 |        213 |
| c:\Users\mohit\Desktop\I\unicore_g\app\[tenant]\student\timetable\page.tsx                       | TypeScript JSX          |        107 |          2 |          9 |        118 |
| c:\Users\mohit\Desktop\I\unicore_g\app\api\academic-periods\[id]\route.ts                        | TypeScript              |         21 |          0 |          5 |         26 |
| c:\Users\mohit\Desktop\I\unicore_g\app\api\academic-periods\route.ts                             | TypeScript              |         39 |          3 |          8 |         50 |
| c:\Users\mohit\Desktop\I\unicore_g\app\api\admin\modules\toggle\route.ts                         | TypeScript              |         43 |          1 |          8 |         52 |
| c:\Users\mohit\Desktop\I\unicore_g\app\api\auth\accept-invite\route.ts                           | TypeScript              |        101 |          8 |         14 |        123 |
| c:\Users\mohit\Desktop\I\unicore_g\app\api\auth\activate\route.ts                                | TypeScript              |         99 |          9 |         20 |        128 |
| c:\Users\mohit\Desktop\I\unicore_g\app\api\auth\invite\route.ts                                  | TypeScript              |         52 |          5 |         14 |         71 |
| c:\Users\mohit\Desktop\I\unicore_g\app\api\auth\login\route.ts                                   | TypeScript              |         71 |          6 |         13 |         90 |
| c:\Users\mohit\Desktop\I\unicore_g\app\api\auth\logout\route.ts                                  | TypeScript              |          6 |          1 |          4 |         11 |
| c:\Users\mohit\Desktop\I\unicore_g\app\api\auth\register\route.ts                                | TypeScript              |         40 |          7 |          9 |         56 |
| c:\Users\mohit\Desktop\I\unicore_g\app\api\auth\setup-password\route.ts                          | TypeScript              |         38 |          4 |         10 |         52 |
| c:\Users\mohit\Desktop\I\unicore_g\app\api\courses\route.ts                                      | TypeScript              |         62 |          1 |          9 |         72 |
| c:\Users\mohit\Desktop\I\unicore_g\app\api\departments\route.ts                                  | TypeScript              |         62 |          2 |         12 |         76 |
| c:\Users\mohit\Desktop\I\unicore_g\app\api\exams\[id]\eligible-students\route.ts                 | TypeScript              |         49 |          5 |          8 |         62 |
| c:\Users\mohit\Desktop\I\unicore_g\app\api\exams\route.ts                                        | TypeScript              |         51 |          3 |          9 |         63 |
| c:\Users\mohit\Desktop\I\unicore_g\app\api\faculty\route.ts                                      | TypeScript              |        105 |         11 |         22 |        138 |
| c:\Users\mohit\Desktop\I\unicore_g\app\api\institutions\register\route.ts                        | TypeScript              |         56 |          4 |         11 |         71 |
| c:\Users\mohit\Desktop\I\unicore_g\app\api\institutions\settings\route.ts                        | TypeScript              |         37 |          1 |          8 |         46 |
| c:\Users\mohit\Desktop\I\unicore_g\app\api\modules\attendance\mark\route.ts                      | TypeScript              |         78 |          6 |         11 |         95 |
| c:\Users\mohit\Desktop\I\unicore_g\app\api\modules\attendance\report\route.ts                    | TypeScript              |         54 |          3 |         11 |         68 |
| c:\Users\mohit\Desktop\I\unicore_g\app\api\modules\attendance\route.ts                           | TypeScript              |         29 |          8 |          5 |         42 |
| c:\Users\mohit\Desktop\I\unicore_g\app\api\modules\courses\route.ts                              | TypeScript              |         54 |          1 |         11 |         66 |
| c:\Users\mohit\Desktop\I\unicore_g\app\api\modules\departments\route.ts                          | TypeScript              |         48 |          0 |          9 |         57 |
| c:\Users\mohit\Desktop\I\unicore_g\app\api\modules\subjects\route.ts                             | TypeScript              |         49 |          3 |         10 |         62 |
| c:\Users\mohit\Desktop\I\unicore_g\app\api\students\enroll\route.ts                              | TypeScript              |         59 |          5 |         11 |         75 |
| c:\Users\mohit\Desktop\I\unicore_g\app\api\students\route.ts                                     | TypeScript              |        119 |          8 |         17 |        144 |
| c:\Users\mohit\Desktop\I\unicore_g\app\api\subjects\assign\route.ts                              | TypeScript              |         67 |          5 |         14 |         86 |
| c:\Users\mohit\Desktop\I\unicore_g\app\api\subjects\route.ts                                     | TypeScript              |        133 |          5 |         24 |        162 |
| c:\Users\mohit\Desktop\I\unicore_g\app\api\test\route.ts                                         | TypeScript              |          5 |          0 |          1 |          6 |
| c:\Users\mohit\Desktop\I\unicore_g\app\globals.css                                               | PostCSS                 |        270 |          4 |         34 |        308 |
| c:\Users\mohit\Desktop\I\unicore_g\app\layout.tsx                                                | TypeScript JSX          |         40 |          0 |          8 |         48 |
| c:\Users\mohit\Desktop\I\unicore_g\app\login\page.tsx                                            | TypeScript JSX          |        295 |         11 |         30 |        336 |
| c:\Users\mohit\Desktop\I\unicore_g\app\not-found.tsx                                             | TypeScript JSX          |         67 |         41 |         13 |        121 |
