"filename", "language", "JSON with Comments", "TypeScript", "JavaScript", "XML", "Markdown", "JSON", "Prisma", "TypeScript JSX", "WebAssembly Text Format", "comment", "blank", "total"
"c:\Users\mohit\Desktop\I\unicore_g\generated\prisma\query_compiler_fast_bg.js", "JavaScript", 0, 0, -2, 0, 0, 0, 0, 0, 0, 0, -1, -3
"c:\Users\mohit\Desktop\I\unicore_g\generated\prisma\query_compiler_fast_bg.wasm", "WebAssembly Text Format", 0, 0, 0, 0, 0, 0, 0, 0, -87811, 0, -2015, -89826
"c:\Users\mohit\Desktop\I\unicore_g\generated\prisma\query_compiler_fast_bg.wasm-base64.js", "JavaScript", 0, 0, -2, 0, 0, 0, 0, 0, 0, 0, -1, -3
"c:\Users\mohit\Desktop\I\unicore_g\generated\prisma\runtime\client.d.ts", "TypeScript", 0, -2133, 0, 0, 0, 0, 0, 0, 0, -836, -390, -3359
"c:\Users\mohit\Desktop\I\unicore_g\generated\prisma\runtime\client.js", "JavaScript", 0, 0, -62, 0, 0, 0, 0, 0, 0, -9, -16, -87
"c:\Users\mohit\Desktop\I\unicore_g\generated\prisma\runtime\index-browser.d.ts", "TypeScript", 0, -52, 0, 0, 0, 0, 0, 0, 0, -16, -23, -91
"c:\Users\mohit\Desktop\I\unicore_g\generated\prisma\runtime\index-browser.js", "JavaScript", 0, 0, -1, 0, 0, 0, 0, 0, 0, -4, -2, -7
"c:\Users\mohit\Desktop\I\unicore_g\generated\prisma\runtime\wasm-compiler-edge.js", "JavaScript", 0, 0, -57, 0, 0, 0, 0, 0, 0, -4, -16, -77
"c:\Users\mohit\Desktop\I\unicore_g\generated\prisma\schema.prisma", "Prisma", 0, 0, 0, 0, 0, 0, -295, 0, 0, -1, -52, -348
"c:\Users\mohit\Desktop\I\unicore_g\generated\prisma\wasm-edge-light-loader.mjs", "JavaScript", 0, 0, -1, 0, 0, 0, 0, 0, 0, -3, -1, -5
"c:\Users\mohit\Desktop\I\unicore_g\generated\prisma\wasm-worker-loader.mjs", "JavaScript", 0, 0, -1, 0, 0, 0, 0, 0, 0, -3, -1, -5
"c:\Users\mohit\Desktop\I\unicore_g\lib\auth-middleware.ts", "TypeScript", 0, -45, 0, 0, 0, 0, 0, 0, 0, -10, -10, -65
"c:\Users\mohit\Desktop\I\unicore_g\lib\auth-server.ts", "TypeScript", 0, -10, 0, 0, 0, 0, 0, 0, 0, -4, -4, -18
"c:\Users\mohit\Desktop\I\unicore_g\lib\auth.ts", "TypeScript", 0, -26, 0, 0, 0, 0, 0, 0, 0, -12, -7, -45
"c:\Users\mohit\Desktop\I\unicore_g\lib\config.ts", "TypeScript", 0, -12, 0, 0, 0, 0, 0, 0, 0, -9, -5, -26
"c:\Users\mohit\Desktop\I\unicore_g\lib\currentUser.ts", "TypeScript", 0, -22, 0, 0, 0, 0, 0, 0, 0, 0, -5, -27
"c:\Users\mohit\Desktop\I\unicore_g\lib\db\index.ts", "TypeScript", 0, -12, 0, 0, 0, 0, 0, 0, 0, -7, -7, -26
"c:\Users\mohit\Desktop\I\unicore_g\lib\mail.ts", "TypeScript", 0, -101, 0, 0, 0, 0, 0, 0, 0, -11, -8, -120
"c:\Users\mohit\Desktop\I\unicore_g\lib\modules\loader.ts", "TypeScript", 0, -39, 0, 0, 0, 0, 0, 0, 0, -20, -9, -68
"c:\Users\mohit\Desktop\I\unicore_g\lib\modules\module-guard.ts", "TypeScript", 0, -9, 0, 0, 0, 0, 0, 0, 0, -4, -3, -16
"c:\Users\mohit\Desktop\I\unicore_g\lib\modules\registry.ts", "TypeScript", 0, -99, 0, 0, 0, 0, 0, 0, 0, -2, -3, -104
"c:\Users\mohit\Desktop\I\unicore_g\lib\services\subject-service.ts", "TypeScript", 0, -23, 0, 0, 0, 0, 0, 0, 0, -4, -7, -34
"c:\Users\mohit\Desktop\I\unicore_g\lib\tenant.ts", "TypeScript", 0, -53, 0, 0, 0, 0, 0, 0, 0, -15, -11, -79
"c:\Users\mohit\Desktop\I\unicore_g\lib\tenant\resolver.ts", "TypeScript", 0, -19, 0, 0, 0, 0, 0, 0, 0, 0, -4, -23
"c:\Users\mohit\Desktop\I\unicore_g\lib\utils.ts", "TypeScript", 0, -5, 0, 0, 0, 0, 0, 0, 0, -3, -2, -10
"c:\Users\mohit\Desktop\I\unicore_g\lib\utils\academic.ts", "TypeScript", 0, -37, 0, 0, 0, 0, 0, 0, 0, -2, -6, -45
"c:\Users\mohit\Desktop\I\unicore_g\modules\attendance\index.ts", "TypeScript", 0, -12, 0, 0, 0, 0, 0, 0, 0, -5, -3, -20
"c:\Users\mohit\Desktop\I\unicore_g\next.config.ts", "TypeScript", 0, -5, 0, 0, 0, 0, 0, 0, 0, -1, -3, -9
"c:\Users\mohit\Desktop\I\unicore_g\package-lock.json", "JSON", 0, 0, 0, 0, 0, -9015, 0, 0, 0, 0, -1, -9016
"c:\Users\mohit\Desktop\I\unicore_g\package.json", "JSON", 0, 0, 0, 0, 0, -47, 0, 0, 0, 0, -1, -48
"c:\Users\mohit\Desktop\I\unicore_g\postcss.config.mjs", "JavaScript", 0, 0, -6, 0, 0, 0, 0, 0, 0, 0, -2, -8
"c:\Users\mohit\Desktop\I\unicore_g\prisma.config.ts", "TypeScript", 0, -11, 0, 0, 0, 0, 0, 0, 0, -2, -2, -15
"c:\Users\mohit\Desktop\I\unicore_g\prisma\schema.prisma", "Prisma", 0, 0, 0, 0, 0, 0, -295, 0, 0, -1, -52, -348
"c:\Users\mohit\Desktop\I\unicore_g\proxy.ts", "TypeScript", 0, -29, 0, 0, 0, 0, 0, 0, 0, -15, -10, -54
"c:\Users\mohit\Desktop\I\unicore_g\public\file.svg", "XML", 0, 0, 0, -1, 0, 0, 0, 0, 0, 0, 0, -1
"c:\Users\mohit\Desktop\I\unicore_g\public\globe.svg", "XML", 0, 0, 0, -1, 0, 0, 0, 0, 0, 0, 0, -1
"c:\Users\mohit\Desktop\I\unicore_g\public\next.svg", "XML", 0, 0, 0, -1, 0, 0, 0, 0, 0, 0, 0, -1
"c:\Users\mohit\Desktop\I\unicore_g\public\vercel.svg", "XML", 0, 0, 0, -1, 0, 0, 0, 0, 0, 0, 0, -1
"c:\Users\mohit\Desktop\I\unicore_g\public\window.svg", "XML", 0, 0, 0, -1, 0, 0, 0, 0, 0, 0, 0, -1
"c:\Users\mohit\Desktop\I\unicore_g\scripts\migrate-subjects.js", "JavaScript", 0, 0, -18, 0, 0, 0, 0, 0, 0, -2, -4, -24
"c:\Users\mohit\Desktop\I\unicore_g\scripts\migrate-subjects.ts", "TypeScript", 0, -16, 0, 0, 0, 0, 0, 0, 0, -3, -6, -25
"c:\Users\mohit\Desktop\I\unicore_g\tailwind.config.ts", "TypeScript", 0, -60, 0, 0, 0, 0, 0, 0, 0, 0, -3, -63
"c:\Users\mohit\Desktop\I\unicore_g\tsconfig.json", "JSON with Comments", -34, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1, -35
"c:\Users\mohit\Desktop\I\unicore_g\verify-db.js", "JavaScript", 0, 0, -35, 0, 0, 0, 0, 0, 0, 0, -6, -41
"c:\Users\mohit\Desktop\I\unicore_g\verify-db.ts", "TypeScript", 0, -26, 0, 0, 0, 0, 0, 0, 0, 0, -5, -31
"Total", "-", -34, -20278, -1409, -5, -56, -9206, -590, -3040, -87811, -11015, -5702, -139146
