Date : 2026-03-30 01:39:14
Directory : c:\Users\mohit\Desktop\I\unicore_g\app
Total : 82 files,  8564 codes, 361 comments, 1044 blanks, all 9969 lines

Languages
+----------------+------------+------------+------------+------------+------------+
| language       | files      | code       | comment    | blank      | total      |
+----------------+------------+------------+------------+------------+------------+
| TypeScript JSX |         54 |      6,551 |        202 |        670 |      7,423 |
| TypeScript     |         27 |      1,743 |        155 |        340 |      2,238 |
| PostCSS        |          1 |        270 |          4 |         34 |        308 |
+----------------+------------+------------+------------+------------+------------+

Directories
+--------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                             | files      | code       | comment    | blank      | total      |
+--------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| c:\Users\mohit\Desktop\I\unicore_g\app\api\auth\forgot-password\route.ts                         | TypeScript     |         47 |          7 |          9 |         63 |
| c:\Users\mohit\Desktop\I\unicore_g\app\api\auth\invite\route.ts                                  | TypeScript     |         52 |          4 |         14 |         70 |
| c:\Users\mohit\Desktop\I\unicore_g\app\api\auth\login\route.ts                                   | TypeScript     |         72 |          6 |         13 |         91 |
| c:\Users\mohit\Desktop\I\unicore_g\app\api\auth\logout\route.ts                                  | TypeScript     |          6 |          1 |          4 |         11 |
| c:\Users\mohit\Desktop\I\unicore_g\app\api\auth\register\route.ts                                | TypeScript     |         40 |          7 |          9 |         56 |
| c:\Users\mohit\Desktop\I\unicore_g\app\api\auth\reset-password\route.ts                          | TypeScript     |         41 |          5 |         10 |         56 |
| c:\Users\mohit\Desktop\I\unicore_g\app\api\auth\setup-password\route.ts                          | TypeScript     |         38 |          3 |         10 |         51 |
| c:\Users\mohit\Desktop\I\unicore_g\app\api\faculty\route.ts                                      | TypeScript     |        109 |         11 |         25 |        145 |
| c:\Users\mohit\Desktop\I\unicore_g\app\api\institutions\register\route.ts                        | TypeScript     |         56 |          4 |         11 |         71 |
| c:\Users\mohit\Desktop\I\unicore_g\app\api\institutions\settings\route.ts                        | TypeScript     |         37 |          1 |          8 |         46 |
| c:\Users\mohit\Desktop\I\unicore_g\app\api\modules\attendance\mark\route.ts                      | TypeScript     |        121 |         12 |         20 |        153 |
| c:\Users\mohit\Desktop\I\unicore_g\app\api\modules\attendance\report\route.ts                    | TypeScript     |         54 |          3 |         11 |         68 |
| c:\Users\mohit\Desktop\I\unicore_g\app\api\modules\attendance\route.ts                           | TypeScript     |         29 |          8 |          5 |         42 |
| c:\Users\mohit\Desktop\I\unicore_g\app\api\modules\courses\route.ts                              | TypeScript     |         84 |          1 |         14 |         99 |
| c:\Users\mohit\Desktop\I\unicore_g\app\api\modules\departments\route.ts                          | TypeScript     |         64 |          0 |         12 |         76 |
| c:\Users\mohit\Desktop\I\unicore_g\app\api\modules\exams\route.ts                                | TypeScript     |         58 |          9 |         10 |         77 |
| c:\Users\mohit\Desktop\I\unicore_g\app\api\modules\notices\route.ts                              | TypeScript     |        110 |         18 |         23 |        151 |
| c:\Users\mohit\Desktop\I\unicore_g\app\api\modules\students\enroll\route.ts                      | TypeScript     |         34 |          6 |          8 |         48 |
| c:\Users\mohit\Desktop\I\unicore_g\app\api\modules\students\route.ts                             | TypeScript     |        136 |         14 |         21 |        171 |
| c:\Users\mohit\Desktop\I\unicore_g\app\api\modules\subjects\assign\route.ts                      | TypeScript     |         74 |          9 |         16 |         99 |
| c:\Users\mohit\Desktop\I\unicore_g\app\api\modules\subjects\route.ts                             | TypeScript     |        164 |          5 |         30 |        199 |
| c:\Users\mohit\Desktop\I\unicore_g\app\api\test\route.ts                                         | TypeScript     |          5 |          0 |          1 |          6 |
| c:\Users\mohit\Desktop\I\unicore_g\app\globals.css                                               | PostCSS        |        270 |          4 |         34 |        308 |
| c:\Users\mohit\Desktop\I\unicore_g\app\layout.tsx                                                | TypeScript JSX |         40 |          0 |          8 |         48 |
| c:\Users\mohit\Desktop\I\unicore_g\app\login\page.tsx                                            | TypeScript JSX |        295 |         11 |         30 |        336 |
| c:\Users\mohit\Desktop\I\unicore_g\app\not-found.tsx                                             | TypeScript JSX |         67 |         41 |         13 |        121 |
| c:\Users\mohit\Desktop\I\unicore_g\app\page.tsx                                                  | TypeScript JSX |         28 |          0 |          2 |         30 |
| c:\Users\mohit\Desktop\I\unicore_g\app\register\page.tsx                                         | TypeScript JSX |        144 |          2 |         20 |        166 |
| c:\Users\mohit\Desktop\I\unicore_g\app\student\activate\page.tsx                                 | TypeScript JSX |        225 |          8 |         25 |        258 |
| Total                                                                                            |                |      8,564 |        361 |      1,044 |      9,969 |
+--------------------------------------------------------------------------------------------------+----------------+------------+------------+------------+------------+
